Agency,Account,Location,Project,Amount,Requestor(s)
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CA,City of Tustin for 17th Street Desalter Electrical Upgrade Project,"2,000,000",Schiff
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CA,County of Madera for North Fork Water System Project,"1,200,000",Padilla
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CA,Las Virgenes Municipal Water District for Water Farm Study,"1,050,000",Padilla
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CO,City of Brighton for Water Line Replacement,"1,000,000","Bennet,"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CO,Town of De Beque for Secondary Water Source,"320,000","Hickenlooper Bennet, Hickenlooper"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],CT,Southington Water Department (SWD) for Wells PFAS Treatment,"2,000,000","Blumenthal, Mur- phy 168"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of College Park for Lead Pipe Replacement,"2,134,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of East Point for Drinking Water Treatment Upgrades,"1,250,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of Hiawassee for Drinking Water Project,"2,000,000",Warnock
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of Millen for Industrial Park Water Tank Construction,"1,500,000",Ossoff
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of Palmetto for Sewer Line Replacements,"856,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of Savannah for Reservoir Rehabilitation,"1,248,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,City of Wrens for New Municipal Drinking Water Well,"557,000",Warnock
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,DeKalb County for Larkspur Water Main Replacement Project,"1,479,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,DeKalb County for Lithonia Booster Pump Station Standby Power Project.,"726,000","Ossoff, Warnock"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],GA,DeKalb County for Water Storage Tank Upgrades,"541,000",Ossoff
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],HI,County of Hawaii Department of Water Supply for Chlorination Sys- tem Conversion.,"1,440,000","Hirono, Schatz"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],HI,County of Maui Department of Water Supply for Kealaloa Well De- velopment.,"2,000,000","Hirono, Schatz"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],HI,Honolulu Board of Water Supply for Kaonohi Booster Replacement,"2,000,000","Hirono, Schatz"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,Bonnie Brae Forest Manor Sanitary District for Water Capital Im- provements.,"250,000",Duckworth
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Chester for Route 150 Water Main Replacement,"1,200,000",Duckworth
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Chicago for Lead Service Line Replacements,"2,000,000",Durbin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Macomb for Lead Service Line Replacements,"1,000,000",Durbin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Markham for Water System Infrastructure Improvements,"1,500,000",Duckworth
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Paris for Wastewater Treatment Plant Upgrades,"500,000",Duckworth
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,City of Springfield for Water Main Replacement,"900,000",Durbin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,North Park Public Water District for Well Reconstruction and Water Treatment.,"1,000,000",Durbin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,Winnebago County for City of Rockford PFAS Remediation,"700,000",Duckworth
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IL,Winnebago County for Water Main Extension,"600,000",Durbin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IN,Huntington-Andrews Drinking Water Regionalization Project,"3,000,000",Young
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],IN,Town of Kingman for Water Infrastructure Improvements,"2,000,000",Young
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KS,City of Caney for Water Distribution System Improvements,"4,000,000",Moran
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KS,City of Hays for R9 Wellfield and Pipeline Project,"11,000,000",Moran
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KS,Russell R9 Project,"1,000,000",Moran
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KS,McPherson Board of Public Utilities for South Well Field Project,"2,000,000",Moran
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KY,City of Albany for Water Treatment Plant Construction,"7,334,000",McConnell
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],KY,Edmonson County Water District for Water Treatment Plant Mod- ernization.,"9,256,000",McConnell
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MA,City of Haverhill for Radial Collector Well,"1,000,000","Markey, Warren"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MD,Garrett County Sanitary District for Gorman Water Source Project,"1,659,000","Alsobrooks, Van 169 Hollen"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MD,Middletown Wastewater Treatment Enhanced Nutrient Removal Up- grade.,"470,000",Alsobrooks
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Canton Water District for Drinking Water Infrastructure Improve- ments.,"1,250,000",Collins
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Livermore Falls Water District for Water Main Replacement,"2,000,000",King
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Loring Development Authority for Water Infrastructure Improve- ments.,"1,740,000","Collins, King"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Lubec Water District for Drinking Water Infrastructure Improve- ments.,"2,000,000","Collins, King"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Monmouth Water Association for Drinking Water Infrastructure Im- provements.,"3,555,000","Collins, King"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Old Town Water District for Drinking Water Infrastructure Improve- ments.,"3,560,000","Collins, King"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],ME,Presque Isle Utilities District for Water Infrastructure Upgrades,"2,000,000","Collins, King"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,Charter Township of Grayling for Camp Grayling PFOS Contamina- tion Municipal Water Extension.,"3,000,000",Peters
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,City of Brighton for Water Treatment Plant Generator Replacement,"1,000,000",Slotkin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,City of Dearborn for Lead Line Replacement Project,"500,000",Slotkin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,City of Grand Blanc for the Blast the Mains and Roll in the New Project.,"1,000,000",Peters
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,City of St. Ignace for Water and Wastewater SCADA Communication System.,"36,000",Peters
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,Great Lakes Water Authority for 54-Inch Water Main Assessment and Renewal Project.,"1,000,000",Slotkin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,Oakland County for Pontiac Drinking Water System Improvements,"1,000,000","Peters, Slotkin"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,Redford Charter Township for Lead Service Lines Replacement,"1,000,000","Peters, Slotkin"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MI,Village of Bellevue for Potable Drinking Water Well,"144,000","Peters, Slotkin"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MN,City of Elysian for Water Treatment Plant,"1,000,000",Klobuchar
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],MT,St. Ignatius Wastewater Collection System Replacement Project,"4,625,000",Sheehy
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NC,Fayetteville Public Works Commission for Water Treatment Plants,"4,500,000",Tillis
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NE,City of Genoa for New Well and Transmission Line,"620,000",Fischer
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NE,City of McCook for Water Treatment Plant,"3,200,000",Fischer
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NE,Santee Sioux Tribe Of The Santee Reservation Of Nebraska for Water System Capacity and Infrastructure Improvements.,"8,250,000",Fischer
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NE,Village of Farwell for Water System Improvements,"696,000",Fischer
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Township of Bloomfield for Lead Service Line Replacement,"481,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Borough of Hamburg for Lead/Galvanized Steel Water Service Line Replacement.,"500,000",Booker
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Borough of Ho-Ho-Kus for Lead Service Line Replacement,"944,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Cape May Water and Sewer Utility for Desalination Plant Funding,"1,250,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,City of Garfield for Lead Service Line Removal,"944,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Hamilton Township Municipal Utilities Authority for Water Main Re- placement.,"1,100,000",Booker
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Town of Kearny for Lead Service Line Replacement Project,"379,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Township of Nutley for Booster Pump Station Enhancement Project,"400,000",Booker
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NJ,Village of Ridgewood for Lead Service Line Replacement,"1,535,000","Booker, Kim"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NM,City of Truth or Consequences for Water Line Improvements,"1,075,000",Heinrich
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NM,Enchanted Forest Mutual Domestic Water Consumers Association for Drinking Water Line Improvements.,"800,000","Heinrich, Luján"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NM,Village of Questa for Water System Improvements,"1,000,000",Heinrich
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NV,Lyon County for Generator Project,"240,000","Cortez Masto, Rosen"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NV,Virgin Valley Water District for Interstate 15 (I-15) Pipe Replace- ment Project.,"1,616,000","Cortez Masto, Rosen"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NY,City of Syracuse for Lead Service Replacements,"1,000,000","Gillibrand, Schumer"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NY,Erie County Water Authority for Lead Service Line Replacement,"1,600,000","Gillibrand, Schumer"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NY,Town of Hempstead for Levittown Dioxane Removal,"2,000,000","Gillibrand, Schumer"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],NY,Village of Kiryas Joel for Water Treatment Facility Construction Project.,"2,000,000","Gillibrand, Schumer"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OH,Village of Scio Waterline Replacement and Lead Line Removal,"500,000",Moreno
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OK,City of Durant for 24-Inch Water Distribution Line Construction,"15,000,000",Mullin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OK,City of Edmond for Water Treatment Plan Facility Construction,"5,000,000",Mullin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OR,City of Beaverton for Water Infrastructure Project,"2,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OR,City of Hermiston for Regional Water System Backup Generators Project.,"665,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OR,City of Maupin for Water System Improvements,"1,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],OR,City of Tillamook for the Water Transmission Line Replacement Project.,"4,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],PA,Carlisle Borough for PFAS Reduction Infrastructure Project,"1,943,000","Fetterman, McCor- mick"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],PA,City of Lock Haven for Water Line Replacement,"825,000",Fetterman
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],RI,Providence Water for Lead Service Line Replacement,"530,000","Reed, Whitehouse"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],RI,Town of Westerly for Lead Waterline Replacement,"1,850,000","Reed, Whitehouse"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],SC,City of Aiken for Drinking Water Infrastructure Improvements,"2,000,000",Graham 171
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],SC,Laurens County Water and Sewer Commission for Drinking Water Improvements.,"4,422,000",Graham
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],SC,Pickens Regional Joint Water System for Water Treatment Plant Im- provements.,"4,000,000",Graham
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],SC,Town of Chapin for Drinking Water Infrastructure Improvements,"1,589,000",Graham
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],UT,Hill Air Force Base Culinary Vault Rehabilitation,"1,160,000",Curtis
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],VA,City of Galax for Drinking Water System Improvements,"1,000,000","Kaine, Warner"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],VA,Wise County Service Authority for Drinking Water System Improve- ments.,"2,500,000","Kaine, Warner"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],VT,City of Burlington for Burlington Drinking Water Reservoir,"1,000,000","Sanders, Welch"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],VT,City of Montpelier for Drinking Water System,"1,700,000","Sanders, Welch"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],VT,Town of Berlin for Water Main System Loop,"600,000",Welch
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,City of Chelan for Water Infrastructure Projects,"2,500,000",Murray
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,City of Moses Lake for PFAS Remediation,"2,000,000","Cantwell, Murray"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,City of Redmond for Water Infrastructure Projects,"2,500,000",Murray
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,City of Sunnyside for Water Infrastructure Projects,"2,114,000",Murray
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,City of Washougal for Drinking Water Well PFAS Remediation,"1,300,000",Cantwell
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,Public Utility District No. 1 of Skamania County for Drinking Water Infrastructure Projects.,"2,400,000","Cantwell, Murray"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WA,Town of Nespelem for Water System Infrastructure Improvements,"1,000,000",Cantwell
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WI,City of Nekoosa for Water Utility Improvements,"1,630,000",Baldwin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WI,Village of Vesper for Water Systems Improvement,"1,100,000",Baldwin
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WV,City of Pennsboro PH 3 Water System Improvement Project,"2,500,000","Capito, Justice"
Environmental Protection Agency,STAG-Drinking water state revolving fund [SRF],WV,Harpers Ferry Water Distribution System Project,"5,051,000","Capito, Justice"
Environmental Protection Agency,STAG-Other (CDS),AK,Bristol Bay Borough for Scrap Metal Backhaul Program,"3,860,000",Murkowski
Environmental Protection Agency,STAG-Other (CDS),AK,City of King Cove for Solid Waste Facility,"2,000,000",Murkowski
Environmental Protection Agency,STAG-Other (CDS),AK,City of Teller for Landfill Project,"700,000",Murkowski
Environmental Protection Agency,STAG-Other (CDS),AK,Fairbanks North Star Borough for Natural Gas Infrastructure Expan- sion.,"3,000,000",Murkowski
Environmental Protection Agency,STAG-Other (CDS),AK,Prince William Sound Stewardship Foundation for Beach Rehabili- tation.,"250,000",Murkowski
Environmental Protection Agency,STAG-Other (CDS),ME,North Pond Water Quality Restoration,"2,350,000",Collins
Environmental Protection Agency,STAG-Other (CDS),ME,Unity Pond Water Quality Restoration,"2,000,000",Collins
Environmental Protection Agency,STAG-Other (CDS),OH,Cold Creek & Lake Erie Western Basin for Water Quality Improve- ment.,"620,000",Husted
Environmental Protection Agency,STAG-Other (CDS),OR,COR Healthy Communities for Waste Improvement System,"3,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Other (CDS),OR,Oregon Department of Environmental Quality for Air Quality Im- provement Project.,"1,000,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Other (CDS),OR,Oregon Department of Environmental Quality for Crook County Groundwater Research Project.,"1,014,000","Merkley, Wyden"
Environmental Protection Agency,STAG-Other (CDS),RI,Groundwork Rhode Island for a Compost Hub,"570,000","Reed, Whitehouse"
Fish and Wildlife Service,Construction,KY,Green River National Wildlife Refuge for Visitor Center Improvement,"1,000,000",McConnell
Fish and Wildlife Service,Resource Management,CT,Denison Pequotsepos Nature Center for Upgrade to Wildlife Facility,"900,000","Blumenthal, Mur- phy"
Fish and Wildlife Service,Resource Management,DE,Partnership for the Delaware Estuary for Mussel Rearing and Living Shoreline Installation.,"500,000",Coons
Fish and Wildlife Service,Resource Management,HI,"Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Emergency for Preparedness at Olinda, Maui to Protect Rare Native Plants and Animals.","460,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,HI,"Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Hawaii Plant Extinction Prevention Program.","200,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,HI,"Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Hawaii Seed Extractory Feasibility Study.","250,000",Hirono
Fish and Wildlife Service,Resource Management,HI,Hawaii Division of Forestry and Wildlife for Hawaii Invertebrate Pro- gram.,"400,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,HI,Hawaii Division of Forestry and Wildlife for Hawaii Island Forest Bird Recovery.,"500,000",Schatz
Fish and Wildlife Service,Resource Management,HI,Hawaii Division of Forestry and Wildlife for Maui and Kauai Forest Bird Recovery.,"500,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,HI,Hawaiian Islands Land Trust for Protecting Pupuka Wetlands,"600,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,HI,San Diego Zoo Wildlife Alliance for Expanding and Enforcing Re- sponses to Mosquito-borne Diseases in Hawaii.,"3,100,000","Hirono, Schatz"
Fish and Wildlife Service,Resource Management,ME,Rangeley Lakes Watershed Crossing Infrastructure,"1,000,000","Collins, King"
Fish and Wildlife Service,Resource Management,NM,City of Bloomfield for San Juan River Bank Stabilization & Riparian Restoration.,"928,000",Luján
Fish and Wildlife Service,Resource Management,NM,Desert Tortoise Council for Bolson Tortoise Habitat,"150,000",Heinrich
Fish and Wildlife Service,Resource Management,OR,Lake County Umbrella Watershed Council for Closed Basin Water- shed Restoration and Resilience Project.,"2,373,000","Merkley, Wyden"
Fish and Wildlife Service,Resource Management,OR,"Nestucca, Neskowin & Sand Lake Watersheds Council for Fish Pas- sage Improvements.","500,000","Merkley, Wyden"
Fish and Wildlife Service,Resource Management,OR,Oregon Metro for Condor Recovery,"2,000,000","Merkley, Wyden"
Fish and Wildlife Service,Resource Management,OR,South Umpqua Rural Community Partnership for Wild Fish Habitat Restoration.,"1,554,000","Merkley, Wyden"
Fish and Wildlife Service,Resource Management,RI,Rhode Island Department of Environmental Management for Eliza- beth Webbing Dam Fish Passage.,"2,000,000","Reed, Whitehouse 173"
Fish and Wildlife Service,Resource Management,UT,Utah Lake Invasive Species Mitigation Program,"1,200,000",Curtis
Forest Service,Capital Improvement and Maintenance,AK,Alaska Trails Initiative for Grant Creek Bridge and Moose Pass Trail Connection.,"1,500,000",Murkowski
Forest Service,Capital Improvement and Maintenance,KY,Capital Improvements and Maintenance at Land Between the Lakes National Recreation Area.,"7,450,000",McConnell
Forest Service,Capital Improvement and Maintenance,NH,"U.S. Forest Service for White Mountain National Forest, Saco Rang- er Station.","10,000,000",Shaheen
Forest Service,Capital Improvement and Maintenance,OR,U.S. Forest Service for Timberline Lodge Fire Suppression System Modernization.,"1,900,000","Merkley, Wyden"
Forest Service,"State, Private, and Tribal Forestry",AK,Alaska Division of Forestry and Fire Protection for Fuels Reduction Projects and Community Wildfire Protection Plans.,"3,500,000",Murkowski
Forest Service,"State, Private, and Tribal Forestry",CA,City of Jurupa Valley for Heli-hydrant Project,"1,000,000",Padilla
Forest Service,"State, Private, and Tribal Forestry",CO,City of Ft. Collins for Michigan Ditch Forest Health,"500,000","Bennet, Hickenlooper"
Forest Service,"State, Private, and Tribal Forestry",CO,Estes Valley Watershed Coalition for Wildfire Mitigation,"105,000","Bennet, Hickenlooper"
Forest Service,"State, Private, and Tribal Forestry",CO,National Forest Foundation for Wildfire Resiliency,"1,299,000","Bennet, Hickenlooper"
Forest Service,"State, Private, and Tribal Forestry",CO,West Region Wildfire Council for Forest Resilience,"500,000","Bennet, Hickenlooper"
Forest Service,"State, Private, and Tribal Forestry",HI,Hawaii Division of Forestry and Wildlife for Volcano Rare Plant Fa- cility.,"250,000","Hirono, Schatz"
Forest Service,"State, Private, and Tribal Forestry",HI,The Nature Conservancy Hawaii and Palmyra for Building Hawaiian Forest Resilience through Wildfire Mitigation Strategies.,"400,000",Schatz
Forest Service,"State, Private, and Tribal Forestry",KS,Kansas Forest Service for Wildfire Mitigation,"2,000,000",Moran
Forest Service,"State, Private, and Tribal Forestry",MA,City of Lynn for Urban Forestry Fellowship: Supporting a Healthy Tree Canopy.,"550,000","Markey, Warren"
Forest Service,"State, Private, and Tribal Forestry",NM,Mescalero Apache Tribe for Forest Restoration,"700,000",Heinrich
Forest Service,"State, Private, and Tribal Forestry",NM,"New Mexico Energy, Minerals and Natural Resources Department for Cimarron Range Philmont West Bear Caves Restoration.","1,300,000",Luján
Forest Service,"State, Private, and Tribal Forestry",NM,Pueblo of Tesuque for Forest Restoration,"1,000,000",Heinrich
Forest Service,"State, Private, and Tribal Forestry",NM,Taos Pueblo for Wildfire Preparedness Equipment Purchase,"525,000",Heinrich
Forest Service,"State, Private, and Tribal Forestry",NV,Nevada Division of Water Resources for Nevada Water Initiative Phase II.,"1,500,000","Cortez Masto, Rosen"
Forest Service,"State, Private, and Tribal Forestry",OR,Oregon Department of the State Fire Marshal for Statewide Wildfire Risk Reduction.,"2,500,000","Merkley, Wyden"
Forest Service,"State, Private, and Tribal Forestry",OR,Sweet Home Fire Department for Wildland Fire Equipment and Ac- tivities.,"1,340,000","Merkley, Wyden"
Forest Service,"State, Private, and Tribal Forestry",OR,Tualatin Hills Park and Recreation District for Community Forest Wildfire Mitigation.,"125,000","Merkley, Wyden"
Forest Service,"State, Private, and Tribal Forestry",VT,Intervale Center for Intervale Conservation Nursery,"500,000",Welch
Indian Health Service,Indian Health Facilities,NM,Pueblo of Isleta for Chical Water Line Improvement Project,"532,000",Luján
Indian Health Service,Indian Health Facilities,NM,Pueblo of Zuni for Water System Improvements,"1,000,000","Heinrich, Luján"
Indian Health Service,Indian Health Facilities,SD,Cheyenne River Sioux Tribe Sanitation Facilities Construction Project.,"6,587,000",Rounds
Indian Health Service,Indian Health Facilities,SD,Oglala Sioux Tribe for Sanitation Facilities Construction Project,"8,920,000",Rounds
National Park Service,Construction,ME,National Park Service for Schoodic Research Learning Center Ren- ovations.,"3,190,000",Collins
National Park Service,Historic Preservation Fund,CT,"Goodspeed Musicals for Accessibility Upgrades, Save America's Treasures.","500,000","Blumenthal, Mur- phy"
National Park Service,Historic Preservation Fund,CT,"Greenwich Historical Society for Bush-Holley House Preservation, Save America's Treasures.","250,000","Blumenthal, Mur- phy"
National Park Service,Historic Preservation Fund,CT,"Music Mountain, Inc., for Renovations and Improvements to His- toric Campus, Save America's Treasures.","250,000","Blumenthal, Mur- phy"
National Park Service,Historic Preservation Fund,CT,"Town of Essex for Centerbrook Meeting House Renovation, Save America's Treasures.","500,000","Blumenthal, Mur- phy"
National Park Service,Historic Preservation Fund,DE,"Delaware Africa Coalition for Historic Preservation of Bechtel House, Save America's Treasures.","500,000",Coons
National Park Service,Historic Preservation Fund,DE,"Delaware Historical Society for Historic Preservation of Old Town Hall, Save America's Treasures.","400,000",Coons
National Park Service,Historic Preservation Fund,DE,"Grand Opera House for Preservation, Save America's Treasures","500,000",Coons
National Park Service,Historic Preservation Fund,DE,"Historic Buttonwood Colored School for Preservation, African Amer- ican Civil Rights.","500,000",Coons
National Park Service,Historic Preservation Fund,DE,"Rehoboth Art League for Historic Preservation, Save America's Treasures.","100,000",Coons
National Park Service,Historic Preservation Fund,DE,"Smyrna Clayton Heritage Association for Smyrna Opera House Ren- ovations, Save America's Treasures.","450,000",Coons
National Park Service,Historic Preservation Fund,GA,"Hamilton Hood Foundation, Inc. for Pierce Chapel African Cemetery survey, African American Civil Rights.","10,000",Warnock
National Park Service,Historic Preservation Fund,GA,"Spelman College for Spelman Reynolds Cottage Historic Preserva- tion, Save America's Treasures.","250,000",Ossoff
National Park Service,Historic Preservation Fund,HI,"Honolulu Museum of Art for Comprehensive Roof Replacement Project, Save America's Treasures.","500,000",Hirono
National Park Service,Historic Preservation Fund,MA,"Gloucester Adventure, Inc. for Schooner Adventure Second Century Preservation, Save America's Treasures.","250,000","Markey, Warren"
National Park Service,Historic Preservation Fund,MA,"Revolutionary Spaces, Inc. for Stabilization at the Old State House, Save America's Treasures.","286,000","Markey, Warren 175"
National Park Service,Historic Preservation Fund,MA,"The House of the Seven Gables Settlement Association for The House of the Seven Gables Stormwater Management Improve- ments, Save America's Treasures.","461,000","Markey, Warren"
National Park Service,Historic Preservation Fund,MD,"Garrett Park Town Hall for Historic Preservation, Save America's Treasures.","500,000","Alsobrooks, Van Hollen"
National Park Service,Historic Preservation Fund,MD,"Mount Clare Museum for Historic Preservation, Save America's Treasures.","100,000",Van Hollen
National Park Service,Historic Preservation Fund,MD,"Mount Vernon Place Conservancy, Inc. for Revitalization and Res- toration of the North and South Park Squares, Save America's Treasures.","500,000",Van Hollen
National Park Service,Historic Preservation Fund,MD,"Preservation Maryland for Restoration of Fort Frederick, Save Amer- ica's Treasures.","500,000",Van Hollen
National Park Service,Historic Preservation Fund,MD,"Thomas Point Shoal Lighthouse for Restoration, Save America's Treasures.","75,000","Alsobrooks, Van Hollen"
National Park Service,Historic Preservation Fund,ME,"Town of Oakland for Memorial Hall Rehabilitation, Save America's Treasures.","39,000","Collins, King"
National Park Service,Historic Preservation Fund,MI,"Wayne State University for the Preservation of the Historic Freer House, Save America's Treasures.","550,000",Peters
National Park Service,Historic Preservation Fund,MN,"Brainerd Historic Water Tower Preservation Committee for Preserva- tion of Brainerd Historic Water Tower, Save America's Treasures.","500,000","Klobuchar, Smith"
National Park Service,Historic Preservation Fund,MS,City of Louisville for Historic Strand Theater Preservation and Res- toration.,"500,000","Hyde-Smith, Wicker"
